movieid,Total_number_of_Users,Total_ratings,Average_ratings
1,2077,8613.0,4.15
2,701,2244.0,3.20
3,478,1442.0,3.02
4,170,464.0,2.73
5,296,890.0,3.01
6,940,3646.0,3.88
7,458,1562.0,3.41
8,68,205.0,3.01
9,102,271.0,2.66
10,888,3144.0,3.54
11,1033,3919.0,3.79
12,160,378.0,2.36
13,99,323.0,3.26
14,153,542.0,3.54
15,146,359.0,2.46
16,682,2587.0,3.79
17,835,3363.0,4.03
18,157,524.0,3.34
19,389,965.0,2.48
20,160,406.0,2.54
21,1356,4914.0,3.62
22,378,1266.0,3.35
23,126,360.0,2.86
24,624,1984.0,3.18
25,980,3578.0,3.65
26,100,353.0,3.53
27,61,179.0,2.93
28,179,726.0,4.06
29,403,1637.0,4.06
30,74,270.0,3.65
31,141,439.0,3.11
32,1511,5962.0,3.95
33,4,12.0,3.00
34,1751,6814.0,3.89
35,70,232.0,3.31
36,928,3673.0,3.96
37,8,28.0,3.50
38,28,79.0,2.82
39,1362,4935.0,3.62
40,30,118.0,3.93
41,242,958.0,3.96
42,221,634.0,2.87
43,166,572.0,3.45
44,311,867.0,2.79
45,544,1863.0,3.42
46,166,516.0,3.11
47,1137,4669.0,4.11
48,382,1137.0,2.98
49,27,101.0,3.74
50,1783,8054.0,4.52
52,431,1569.0,3.64
53,8,38.0,4.75
54,41,105.0,2.56
55,45,138.0,3.07
56,9,18.0,2.00
57,99,337.0,3.40
58,501,2051.0,4.09
59,8,22.0,2.75
60,357,1147.0,3.21
61,67,201.0,3.00
62,541,2000.0,3.70
63,111,317.0,2.86
64,79,179.0,2.27
65,143,295.0,2.06
66,97,162.0,1.67
67,4,13.0,3.25
68,60,207.0,3.45
69,319,1166.0,3.66
70,914,2885.0,3.16
71,96,202.0,2.10
72,93,338.0,3.63
73,224,855.0,3.82
74,120,357.0,2.98
75,12,23.0,1.92
76,178,508.0,2.85
77,34,128.0,3.76
78,50,163.0,3.26
79,114,297.0,2.61
80,52,199.0,3.83
81,166,525.0,3.16
82,89,345.0,3.88
83,33,122.0,3.70
84,21,65.0,3.10
85,194,660.0,3.40
86,236,801.0,3.39
87,76,168.0,2.21
88,192,565.0,2.94
89,229,704.0,3.07
90,6,22.0,3.67
92,88,206.0,2.34
93,89,199.0,2.24
94,182,678.0,3.73
95,638,1835.0,2.88
96,13,51.0,3.92
97,44,165.0,3.75
98,6,12.0,2.00
99,50,173.0,3.46
100,128,392.0,3.06
101,253,979.0,3.87
102,60,109.0,1.82
103,33,106.0,3.21
104,682,2405.0,3.53
105,387,1251.0,3.23
106,12,43.0,3.58
107,256,806.0,3.15
108,7,20.0,2.86
110,2443,10346.0,4.23
111,1240,5188.0,4.18
112,570,1963.0,3.44
113,53,158.0,2.98
114,11,34.0,3.09
116,41,168.0,4.10
117,79,287.0,3.63
118,68,209.0,3.07
119,13,32.0,2.46
120,3,8.0,2.67
121,37,150.0,4.05
122,194,537.0,2.77
123,115,445.0,3.87
124,14,45.0,3.21
125,318,1219.0,3.83
126,99,197.0,1.99
127,1,1.0,1.00
128,12,52.0,4.33
129,13,43.0,3.31
130,2,8.0,4.00
131,16,49.0,3.06
132,91,227.0,2.49
133,1,1.0,1.00
134,2,8.0,4.00
135,133,374.0,2.81
136,8,26.0,3.25
137,13,39.0,3.00
138,2,5.0,2.50
139,1,4.0,4.00
140,139,440.0,3.17
141,682,2421.0,3.55
142,1,1.0,1.00
144,433,1469.0,3.39
145,362,1193.0,3.30
146,18,52.0,2.89
147,181,641.0,3.54
148,23,64.0,2.78
149,47,178.0,3.79
150,1251,5096.0,4.07
151,554,1988.0,3.59
152,69,207.0,3.00
153,777,2053.0,2.64
154,168,626.0,3.73
155,87,297.0,3.41
156,66,235.0,3.56
157,187,511.0,2.73
158,259,772.0,2.98
159,116,381.0,3.28
160,565,1265.0,2.24
161,760,2830.0,3.72
162,491,1995.0,4.06
163,540,1867.0,3.46
164,379,1352.0,3.57
165,825,2938.0,3.56
166,61,150.0,2.46
167,5,18.0,3.60
168,362,1068.0,2.95
169,113,228.0,2.02
170,321,1010.0,3.15
171,93,332.0,3.57
172,458,1180.0,2.58
173,564,1302.0,2.31
174,81,187.0,2.31
175,220,765.0,3.48
176,205,803.0,3.92
177,139,380.0,2.73
178,19,66.0,3.47
179,48,106.0,2.21
180,451,1600.0,3.55
181,93,150.0,1.61
182,49,154.0,3.14
183,29,101.0,3.48
184,26,87.0,3.35
185,569,1633.0,2.87
186,211,583.0,2.76
187,105,340.0,3.24
188,190,612.0,3.22
189,15,51.0,3.40
190,100,375.0,3.75
191,75,185.0,2.47
192,2,6.0,3.00
193,217,445.0,2.05
194,213,800.0,3.76
195,164,466.0,2.84
196,550,1553.0,2.82
197,17,52.0,3.06
198,605,1994.0,3.30
199,117,446.0,3.81
200,12,29.0,2.42
201,33,87.0,2.64
202,30,75.0,2.50
203,203,620.0,3.05
204,203,593.0,2.92
205,85,307.0,3.61
206,82,301.0,3.67
207,219,686.0,3.13
208,651,1713.0,2.63
209,52,128.0,2.46
210,41,129.0,3.15
211,34,121.0,3.56
212,14,27.0,1.93
213,123,499.0,4.06
214,28,119.0,4.25
215,160,609.0,3.81
216,355,1130.0,3.18
217,64,168.0,2.63
218,195,610.0,3.13
219,22,70.0,3.18
220,28,51.0,1.82
222,329,1167.0,3.55
223,1412,5573.0,3.95
224,386,1309.0,3.39
225,254,806.0,3.17
226,1,2.0,2.00
227,129,345.0,2.67
228,13,28.0,2.15
229,108,378.0,3.50
230,349,1205.0,3.45
231,660,2107.0,3.19
232,346,1410.0,4.08
233,235,849.0,3.61
234,147,327.0,2.22
235,927,3427.0,3.70
236,326,1077.0,3.30
237,257,764.0,2.97
238,32,90.0,2.81
239,168,483.0,2.88
240,45,122.0,2.71
241,29,96.0,3.31
242,80,280.0,3.50
243,10,21.0,2.10
244,10,19.0,1.90
245,11,33.0,3.00
246,716,2999.0,4.19
247,477,1844.0,3.87
248,138,402.0,2.91
249,261,981.0,3.76
250,30,78.0,2.60
251,18,59.0,3.28
252,367,1200.0,3.27
253,738,2601.0,3.52
254,38,117.0,3.08
255,66,136.0,2.06
256,218,578.0,2.65
257,114,368.0,3.23
258,144,349.0,2.42
259,102,290.0,2.84
260,2991,13321.0,4.45
261,285,1040.0,3.65
262,172,666.0,3.87
263,28,108.0,3.86
264,5,16.0,3.20
265,772,3036.0,3.93
266,705,2415.0,3.43
267,140,382.0,2.73
268,54,182.0,3.37
269,55,194.0,3.53
270,79,240.0,3.04
271,63,198.0,3.14
272,383,1427.0,3.73
273,244,707.0,2.90
274,24,57.0,2.38
275,80,203.0,2.54
276,228,614.0,2.69
277,170,541.0,3.18
278,40,110.0,2.75
279,46,171.0,3.72
280,212,757.0,3.57
281,233,850.0,3.65
282,215,693.0,3.22
283,18,54.0,3.00
286,1,3.0,3.00
287,21,61.0,2.90
288,700,2201.0,3.14
289,158,528.0,3.34
290,168,658.0,3.92
291,48,106.0,2.21
292,733,2396.0,3.27
293,923,3790.0,4.11
294,42,130.0,3.10
295,29,80.0,2.76
296,2171,9288.0,4.28
297,28,87.0,3.11
298,23,90.0,3.91
299,143,524.0,3.66
300,705,2650.0,3.76
301,43,142.0,3.30
302,86,328.0,3.81
303,418,1244.0,2.98
304,35,110.0,3.14
305,127,318.0,2.50
306,334,1412.0,4.23
307,243,996.0,4.10
308,202,801.0,3.97
309,48,177.0,3.69
310,6,16.0,2.67
311,1,3.0,3.00
312,112,273.0,2.44
313,54,156.0,2.89
314,300,1155.0,3.85
315,153,406.0,2.65
316,1116,3895.0,3.49
317,641,2046.0,3.19
318,2227,10143.0,4.55
319,273,1063.0,3.89
320,32,109.0,3.41
321,61,229.0,3.75
322,209,776.0,3.71
324,33,131.0,3.97
325,49,120.0,2.45
326,61,265.0,4.34
327,358,936.0,2.61
328,144,448.0,3.11
329,990,3343.0,3.38
330,149,407.0,2.73
331,21,65.0,3.10
332,161,410.0,2.55
333,410,1436.0,3.50
334,114,440.0,3.86
335,41,143.0,3.49
336,19,51.0,2.68
337,693,2662.0,3.84
338,221,637.0,2.88
339,673,2355.0,3.50
340,84,275.0,3.27
341,31,119.0,3.84
342,518,1905.0,3.68
343,42,102.0,2.43
344,766,2412.0,3.15
345,469,1785.0,3.81
346,120,423.0,3.53
347,46,146.0,3.17
348,455,1683.0,3.70
349,1059,3946.0,3.73
350,515,1747.0,3.39
351,257,859.0,3.34
352,119,373.0,3.13
353,734,2529.0,3.45
354,67,213.0,3.18
355,267,628.0,2.35
356,2194,8969.0,4.09
357,1233,4616.0,3.74
358,141,447.0,3.17
359,19,61.0,3.21
360,127,317.0,2.50
361,268,917.0,3.42
362,239,804.0,3.36
363,62,264.0,4.26
364,1121,4328.0,3.86
365,71,225.0,3.17
366,251,708.0,2.82
367,1179,3866.0,3.28
368,802,2826.0,3.52
369,58,192.0,3.31
370,412,1194.0,2.90
371,212,674.0,3.18
372,428,1350.0,3.15
373,258,995.0,3.86
374,183,387.0,2.11
375,17,56.0,3.29
376,350,1136.0,3.25
377,1650,5883.0,3.57
378,140,405.0,2.89
379,436,1260.0,2.89
380,1400,5088.0,3.63
381,211,688.0,3.26
382,272,798.0,2.93
383,270,882.0,3.27
384,40,116.0,2.90
385,10,34.0,3.40
386,30,78.0,2.60
387,102,280.0,2.75
388,97,353.0,3.64
389,20,74.0,3.70
390,59,209.0,3.54
391,40,131.0,3.28
392,25,70.0,2.80
393,105,195.0,1.86
394,18,66.0,3.67
396,1,4.0,4.00
397,12,29.0,2.42
398,1,4.0,4.00
401,2,6.0,3.00
402,1,3.0,3.00
404,4,15.0,3.75
405,203,431.0,2.12
406,8,29.0,3.63
407,193,562.0,2.91
408,72,239.0,3.32
409,49,148.0,3.02
410,463,1346.0,2.91
411,13,34.0,2.62
412,295,1050.0,3.56
413,245,620.0,2.53
414,90,239.0,2.66
415,179,444.0,2.48
416,89,216.0,2.43
417,208,725.0,3.49
418,29,73.0,2.52
419,156,342.0,2.19
420,352,882.0,2.51
421,94,316.0,3.36
422,57,178.0,3.12
423,221,687.0,3.11
424,75,195.0,2.60
425,105,379.0,3.61
426,269,829.0,3.08
427,166,393.0,2.37
428,263,1034.0,3.93
429,187,445.0,2.38
430,24,58.0,2.42
431,369,1362.0,3.69
432,392,1011.0,2.58
433,48,134.0,2.79
434,686,2116.0,3.08
435,533,1389.0,2.61
436,141,374.0,2.65
437,64,131.0,2.05
438,152,399.0,2.63
439,2,9.0,4.50
440,948,3613.0,3.81
441,643,2375.0,3.69
442,640,1915.0,2.99
443,31,105.0,3.39
444,81,186.0,2.30
445,100,261.0,2.61
446,254,1037.0,4.08
447,31,77.0,2.48
448,228,821.0,3.60
449,71,260.0,3.66
450,228,748.0,3.28
451,106,334.0,3.15
452,38,125.0,3.29
453,67,216.0,3.22
454,824,2923.0,3.55
455,285,738.0,2.59
456,93,372.0,4.00
457,1995,8186.0,4.10
458,87,285.0,3.28
459,143,405.0,2.83
460,38,86.0,2.26
461,86,282.0,3.28
462,28,74.0,2.64
463,47,129.0,2.74
464,216,601.0,2.78
465,105,348.0,3.31
466,573,1602.0,2.80
467,54,173.0,3.20
468,350,1145.0,3.27
469,69,204.0,2.96
470,38,66.0,1.74
471,599,2175.0,3.63
472,44,119.0,2.70
473,151,336.0,2.23
474,972,3718.0,3.83
475,312,1217.0,3.90
476,35,94.0,2.69
477,195,676.0,3.47
478,24,59.0,2.46
479,133,372.0,2.80
480,2672,10057.0,3.76
481,294,994.0,3.38
482,176,621.0,3.53
483,74,277.0,3.74
484,29,77.0,2.66
485,500,1254.0,2.51
486,64,180.0,2.81
487,62,162.0,2.61
488,39,132.0,3.38
489,97,240.0,2.47
490,185,615.0,3.32
491,212,703.0,3.32
492,335,1246.0,3.72
493,298,1075.0,3.61
494,416,1392.0,3.35
495,42,142.0,3.38
496,37,119.0,3.22
497,667,2668.0,4.00
498,47,129.0,2.74
499,49,135.0,2.76
500,838,2866.0,3.42
501,94,339.0,3.61
502,155,300.0,1.94
503,13,48.0,3.69
504,178,526.0,2.96
505,69,172.0,2.49
506,114,398.0,3.49
507,308,1085.0,3.52
508,561,2185.0,3.89
509,608,2234.0,3.67
510,42,101.0,2.40
511,152,472.0,3.11
512,179,514.0,2.87
513,67,209.0,3.12
514,346,1222.0,3.53
515,450,1763.0,3.92
516,248,712.0,2.87
517,382,1213.0,3.18
518,149,366.0,2.46
519,202,392.0,1.94
520,374,1096.0,2.93
521,117,394.0,3.37
522,83,296.0,3.57
523,117,428.0,3.66
524,476,1721.0,3.62
525,21,67.0,3.19
526,8,20.0,2.50
527,2304,10392.0,4.51
528,68,171.0,2.51
529,720,2864.0,3.98
530,2,7.0,3.50
531,338,1274.0,3.77
532,389,1186.0,3.05
533,203,555.0,2.73
534,286,1097.0,3.84
535,301,1149.0,3.82
536,55,174.0,3.16
537,207,637.0,3.08
538,315,1204.0,3.82
539,986,3708.0,3.76
540,169,375.0,2.22
541,1800,7692.0,4.27
542,206,551.0,2.67
543,682,2308.0,3.38
544,129,341.0,2.64
545,1,2.0,2.00
546,350,656.0,1.87
547,124,357.0,2.88
548,137,349.0,2.55
549,157,600.0,3.82
550,178,537.0,3.02
551,996,3703.0,3.72
552,529,1714.0,3.24
553,553,2142.0,3.87
554,26,68.0,2.62
555,658,2585.0,3.93
556,132,558.0,4.23
557,2,9.0,4.50
558,135,365.0,2.70
559,5,15.0,3.00
560,8,29.0,3.63
561,13,47.0,3.62
562,478,1816.0,3.80
563,17,55.0,3.24
564,45,102.0,2.27
565,61,191.0,3.13
566,13,38.0,2.92
567,14,50.0,3.57
568,35,135.0,3.86
569,100,293.0,2.93
570,23,74.0,3.22
571,34,122.0,3.59
572,2,6.0,3.00
573,21,74.0,3.52
574,175,603.0,3.45
575,107,302.0,2.82
576,1,3.0,3.00
577,55,163.0,2.96
578,2,9.0,4.50
579,1,2.0,2.00
580,62,201.0,3.24
581,141,571.0,4.05
582,2,6.0,3.00
583,28,103.0,3.68
584,1,4.0,4.00
585,418,1215.0,2.91
586,675,2116.0,3.13
587,1124,3930.0,3.50
588,1351,5118.0,3.79
589,2649,10751.0,4.06
590,1451,5681.0,3.92
591,2,4.0,2.00
592,1431,5153.0,3.60
593,2578,11219.0,4.35
594,763,2934.0,3.85
595,1060,4119.0,3.89
596,498,1868.0,3.75
597,1046,3809.0,3.64
598,8,34.0,4.25
599,264,1079.0,4.09
600,30,90.0,3.00
601,1,3.0,3.00
602,41,169.0,4.12
603,58,174.0,3.00
605,226,749.0,3.31
606,93,207.0,2.23
607,2,4.0,2.00
608,2513,10692.0,4.25
609,67,186.0,2.78
610,618,2192.0,3.55
611,216,534.0,2.47
612,79,190.0,2.41
613,82,298.0,3.63
614,9,24.0,2.67
615,67,271.0,4.04
616,278,932.0,3.35
617,17,62.0,3.65
618,9,19.0,2.11
619,32,83.0,2.59
621,42,156.0,3.71
623,3,9.0,3.00
624,1,4.0,4.00
626,19,43.0,2.26
627,121,436.0,3.60
628,485,1890.0,3.90
630,7,20.0,2.86
631,75,156.0,2.08
632,13,52.0,4.00
633,20,72.0,3.60
634,3,5.0,1.67
635,77,279.0,3.62
637,140,356.0,2.54
638,19,61.0,3.21
639,78,204.0,2.62
640,71,190.0,2.68
641,1,1.0,1.00
642,1,2.0,2.00
643,3,6.0,2.00
644,1,2.0,2.00
645,20,72.0,3.60
647,441,1567.0,3.55
648,1527,5242.0,3.43
649,16,67.0,4.19
650,89,309.0,3.47
651,1,2.0,2.00
652,9,26.0,2.89
653,612,1974.0,3.23
655,1,1.0,1.00
656,39,100.0,2.56
657,2,6.0,3.00
658,1,3.0,3.00
659,25,93.0,3.72
660,2,3.0,1.50
661,525,1819.0,3.46
662,128,382.0,2.98
663,264,902.0,3.42
664,8,24.0,3.00
665,35,128.0,3.66
666,3,10.0,3.33
667,47,96.0,2.04
668,47,207.0,4.40
669,23,96.0,4.17
670,56,247.0,4.41
671,456,1678.0,3.68
672,2,4.0,2.00
673,563,1475.0,2.62
674,386,1164.0,3.02
678,306,1299.0,4.25
679,2,7.0,3.50
680,64,215.0,3.36
681,15,59.0,3.93
682,4,14.0,3.50
684,1,1.0,1.00
685,30,99.0,3.30
687,3,9.0,3.00
688,213,485.0,2.28
690,2,4.0,2.00
691,121,375.0,3.10
692,106,224.0,2.11
694,141,373.0,2.65
695,135,429.0,3.18
696,4,13.0,3.25
697,85,217.0,2.55
698,5,11.0,2.20
700,145,482.0,3.32
701,1,4.0,4.00
702,27,99.0,3.67
703,10,16.0,1.60
704,42,97.0,2.31
705,36,138.0,3.83
706,2,5.0,2.50
707,275,849.0,3.09
708,679,2332.0,3.43
709,144,438.0,3.04
710,51,119.0,2.33
711,62,155.0,2.50
712,2,7.0,3.50
714,153,595.0,3.89
715,52,188.0,3.62
716,28,75.0,2.68
717,1,4.0,4.00
718,33,115.0,3.48
719,239,684.0,2.86
720,438,1939.0,4.43
722,27,103.0,3.81
724,416,1284.0,3.09
725,91,254.0,2.79
726,9,27.0,3.00
728,217,817.0,3.76
729,3,11.0,3.67
730,1,1.0,1.00
731,47,134.0,2.85
732,6,17.0,2.83
733,1340,4989.0,3.72
734,3,9.0,3.00
735,101,339.0,3.36
736,1110,3523.0,3.17
737,300,609.0,2.03
741,314,1284.0,4.09
742,174,440.0,2.53
743,107,275.0,2.57
744,3,6.0,2.00
745,657,2970.0,4.52
746,31,124.0,4.00
747,55,110.0,2.00
748,417,1314.0,3.15
749,4,11.0,2.75
750,1367,6083.0,4.45
751,15,53.0,3.53
753,32,101.0,3.16
754,13,38.0,2.92
755,9,34.0,3.78
756,4,12.0,3.00
757,4,15.0,3.75
758,1,4.0,4.00
759,59,242.0,4.10
760,33,116.0,3.52
761,123,343.0,2.79
762,298,651.0,2.18
763,1,3.0,3.00
764,74,242.0,3.27
765,171,450.0,2.63
766,100,357.0,3.57
767,24,77.0,3.21
769,12,39.0,3.25
771,18,68.0,3.78
774,1,4.0,4.00
775,9,29.0,3.22
776,4,12.0,3.00
778,751,2974.0,3.96
779,52,140.0,2.69
780,1730,6073.0,3.51
781,103,348.0,3.38
782,145,370.0,2.55
783,390,1257.0,3.22
784,385,1051.0,2.73
785,765,2661.0,3.48
786,460,1437.0,3.12
787,3,15.0,5.00
788,948,2840.0,3.00
789,2,6.0,3.00
790,1,3.0,3.00
791,2,7.0,3.50
792,1,4.0,4.00
793,10,26.0,2.60
796,3,10.0,3.33
798,204,552.0,2.71
799,338,1132.0,3.35
800,630,2572.0,4.08
801,121,375.0,3.10
802,427,1493.0,3.50
803,57,210.0,3.68
804,233,694.0,2.98
805,344,1235.0,3.59
806,60,190.0,3.17
807,14,42.0,3.00
808,43,146.0,3.40
809,105,270.0,2.57
810,120,176.0,1.47
811,9,35.0,3.89
813,47,118.0,2.51
814,1,3.0,3.00
815,6,12.0,2.00
818,189,484.0,2.56
820,4,13.0,3.25
821,2,4.0,2.00
823,4,13.0,3.25
824,28,110.0,3.93
826,1,1.0,1.00
827,2,6.0,3.00
828,54,157.0,2.91
829,131,300.0,2.29
830,295,871.0,2.95
831,20,77.0,3.85
832,564,1962.0,3.48
833,78,170.0,2.18
834,4,8.0,2.00
835,103,322.0,3.13
836,237,629.0,2.65
837,218,758.0,3.48
838,501,1944.0,3.88
839,135,299.0,2.21
840,50,128.0,2.56
841,25,85.0,3.40
842,151,391.0,2.59
843,1,1.0,1.00
844,7,25.0,3.57
846,38,142.0,3.74
847,7,13.0,1.86
848,156,536.0,3.44
849,511,1283.0,2.51
850,30,110.0,3.67
851,127,444.0,3.50
852,615,1981.0,3.22
853,3,12.0,4.00
854,8,29.0,3.63
858,2223,10059.0,4.52
859,1,2.0,2.00
860,10,36.0,3.60
861,273,959.0,3.51
862,31,113.0,3.65
863,10,35.0,3.50
864,12,43.0,3.58
865,1,2.0,2.00
866,572,2187.0,3.82
867,24,53.0,2.21
868,1,3.0,3.00
869,42,130.0,3.10
870,49,107.0,2.18
872,1,3.0,3.00
874,8,25.0,3.13
875,44,149.0,3.39
876,21,60.0,2.86
877,24,79.0,3.29
878,1,4.0,4.00
879,237,670.0,2.83
880,324,713.0,2.20
881,77,202.0,2.62
882,59,160.0,2.71
884,2,6.0,3.00
885,43,111.0,2.58
886,104,306.0,2.94
887,2,5.0,2.50
888,48,106.0,2.21
889,2,5.0,2.50
891,183,432.0,2.36
892,152,587.0,3.86
893,69,255.0,3.70
895,2,2.0,1.00
896,51,175.0,3.43
897,98,368.0,3.76
898,582,2503.0,4.30
899,751,3217.0,4.28
900,343,1321.0,3.85
901,174,634.0,3.64
902,676,2642.0,3.91
903,905,3867.0,4.27
904,1050,4700.0,4.48
905,374,1601.0,4.28
906,187,766.0,4.10
907,105,412.0,3.92
908,1315,5765.0,4.38
909,417,1721.0,4.13
910,832,3578.0,4.30
911,306,1280.0,4.18
912,1669,7365.0,4.41
913,1043,4585.0,4.40
914,636,2642.0,4.15
915,365,1447.0,3.96
916,425,1792.0,4.22
917,77,283.0,3.68
918,189,717.0,3.79
919,1718,7298.0,4.25
920,1156,4621.0,4.00
921,302,1176.0,3.89
922,470,2111.0,4.49
923,1116,4898.0,4.39
924,1716,6982.0,4.07
925,12,39.0,3.25
926,403,1715.0,4.26
927,84,334.0,3.98
928,386,1623.0,4.20
929,93,352.0,3.78
930,445,1911.0,4.29
931,206,806.0,3.91
932,189,747.0,3.95
933,443,1817.0,4.10
934,304,1112.0,3.66
935,71,258.0,3.63
936,132,538.0,4.08
937,44,165.0,3.75
938,187,677.0,3.62
939,11,35.0,3.18
940,378,1502.0,3.97
941,105,389.0,3.70
942,292,1227.0,4.20
943,171,681.0,3.98
944,97,368.0,3.79
945,251,1041.0,4.15
946,161,620.0,3.85
947,188,772.0,4.11
948,130,488.0,3.75
949,215,855.0,3.98
950,292,1238.0,4.24
951,397,1687.0,4.25
952,269,969.0,3.60
953,729,3134.0,4.30
954,383,1624.0,4.24
955,413,1722.0,4.17
956,40,142.0,3.55
957,37,120.0,3.24
958,13,44.0,3.38
959,58,217.0,3.74
960,20,69.0,3.45
961,23,80.0,3.48
962,11,39.0,3.55
963,54,193.0,3.57
964,51,173.0,3.39
965,253,1031.0,4.08
966,6,24.0,4.00
967,23,75.0,3.26
968,715,2625.0,3.67
969,1057,4494.0,4.25
970,37,126.0,3.41
971,271,1097.0,4.05
972,6,19.0,3.17
973,82,321.0,3.91
974,16,60.0,3.75
975,2,3.0,1.50
976,56,200.0,3.57
977,2,4.0,2.00
978,100,394.0,3.94
980,5,14.0,2.80
981,4,11.0,2.75
982,81,298.0,3.68
984,33,88.0,2.67
985,4,15.0,3.75
986,232,836.0,3.60
987,40,116.0,2.90
988,69,233.0,3.38
989,1,5.0,5.00
990,54,139.0,2.57
991,170,599.0,3.52
992,20,52.0,2.60
993,9,28.0,3.11
994,450,1843.0,4.10
996,256,744.0,2.91
997,28,94.0,3.36
998,93,280.0,3.01
999,286,939.0,3.28
1000,20,61.0,3.05
1002,8,34.0,4.25
1003,121,356.0,2.94
1004,101,269.0,2.66
1005,142,337.0,2.37
1006,78,241.0,3.09
1007,232,691.0,2.98
1008,97,323.0,3.33
1009,291,927.0,3.19
1010,242,791.0,3.27
1011,135,368.0,2.73
1012,301,1115.0,3.70
1013,258,920.0,3.57
1014,136,463.0,3.40
1015,234,783.0,3.35
1016,156,502.0,3.22
1017,276,990.0,3.59
1018,123,400.0,3.25
1019,575,2129.0,3.70
1020,392,1270.0,3.24
1021,247,684.0,2.77
1022,577,2167.0,3.76
1023,221,881.0,3.99
1024,126,409.0,3.25
1025,293,1058.0,3.61
1026,8,29.0,3.63
1027,344,1088.0,3.16
1028,1011,3937.0,3.89
1029,568,2095.0,3.69
1030,323,994.0,3.08
1031,319,1110.0,3.48
1032,525,1941.0,3.70
